"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"305","Alpheus_crockeri",45.6864216054013,45.9114778694674,47.7119279819955,44.6361590397599
"306","Alpheus_diadema",45.8367016976556,46.160064672595,47.4535165723525,43.4923201293452
"307","Alpheus_djeddensis",45.575959933222,46.5776293823038,48.0801335559265,43.322203672788
"308","Alpheus_dolerus",46.3166144200627,46.7084639498433,48.1974921630094,44.9843260188088
"309","Alpheus_edamensis",45.5296769346356,46.1307287753569,47.7836213373403,44.4778362133734
"310","Alpheus_edwardsii",49.0066225165563,49.9337748344371,50.5960264900662,46.887417218543
"311","Alpheus_ehlersii",48.4346224677716,48.5267034990792,49.5395948434622,46.316758747698
"312","Alpheus_eulimene",45.2996474735605,45.5346650998825,46.9447708578143,45.0646298472385
"313","Alpheus_frontalis",45.4057679409792,46.6800804828974,48.3568075117371,45.4728370221328
"314","Alpheus_gracilipes",45.2033768227168,45.8940905602456,47.5057559478127,43.9754412893323
"315","Alpheus_gracilis",45.4320987654321,46.3374485596708,47.8189300411523,43.5390946502058
"316","Alpheus_hailstonei",45.7589285714286,45.9821428571429,46.9308035714286,45.2008928571429
"317","Alpheus_idiocheles",48.8108720271801,47.2253680634202,49.0373725934315,46.4326160815402
"318","Alpheus_ladronis",47.906976744186,40.9302325581395,44.6511627906977,46.5116279069767
