"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585","EM_Percentile_phos_585"
"694","Aristostomias_grimaldii",64.9482027393451,64.9203921295974,57.1229924216088,62.5982062156713,65.0455398734617,65.354932906904
"695","Aristostomias_lunifer",65.0972940638305,65.1676695168725,57.1413490974348,62.7784228860973,65.1395193356557,65.5969597804286
"696","Aristostomias_polydactylus",65.4099935938501,64.6828955797566,58.0973734785394,63.052530429212,65.1217168481742,65.486867392697
"697","Aristostomias_tittmanni",73.0446688345028,68.2526099606367,72.1889440355982,71.5043641964744,71.8637686120144,71.7781961321239
"698","Aristostomias_xenostoma",70.569833153929,69.6380516684607,62.6581001076426,67.8854951560818,70.2435414424112,70.5294671689989
"699","Arius_sumatranus",78.8546255506608,79.4419970631424,76.9456681350954,81.6446402349486,81.9383259911894,79.5888399412628
"700","Armandia_intermedia",83.44327176781,82.1240105540897,81.3984168865435,81.4643799472295,80.8047493403694,83.7071240105541
"701","Armandia_lanceolata",79.144385026738,78.2085561497326,78.475935828877,79.8128342245989,80.6149732620321,79.6791443850267
"702","Armandia_leptocirris",79.7587131367292,80.5630026809651,77.7479892761394,82.9758713136729,82.8418230563003,80.9651474530831
"703","Armandia_maculata",92.5311203319502,90.8713692946058,93.3609958506224,88.3817427385892,87.9668049792531,92.9460580912863
"704","Armatobalanus_allium",80.1437556154537,78.0772686433064,78.7061994609164,79.9640610961366,78.8858939802336,81.3117699910153
"705","Armatobalanus_cepa",77.7126099706745,77.8592375366569,76.5395894428152,79.9120234604106,80.058651026393,78.0058651026393
"706","Armatobalanus_terebratus",81.0874704491726,79.0780141843972,79.0780141843972,80.7328605200946,80.1418439716312,82.2695035460993
"707","Arnoglossus_dalgleishi",82.6375711574953,80.4554079696395,79.8861480075901,81.1195445920304,79.4117647058823,82.0683111954459
"708","Arnoglossus_elongatus",86.336032388664,85.5263157894737,84.412955465587,84.412955465587,82.8947368421053,88.5627530364372
"709","Arnoglossus_japonicus",83.0808080808081,80.8922558922559,79.7979797979798,81.3973063973064,80.5555555555556,82.9124579124579
"710","Arnoglossus_macrolophus",81.7453250222618,79.8753339269813,80.2315227070347,80.2315227070347,79.1629563668745,80.9439002671416
"711","Arnoglossus_polyspilus",80.849532037437,79.337652987761,78.6177105831533,78.9776817854572,78.6177105831533,81.6414686825054
"712","Arnoglossus_tenuis",82.6718296224589,80.6389157792836,79.3804453049371,81.9941916747338,80.7357212003872,82.2846079380445
"713","Arnoglossus_waitei",79.0322580645161,79.9283154121864,79.0322580645161,81.3620071684588,80.6451612903226,82.078853046595
"714","Arothron_caeruleopunctatus",81.93359375,80.37109375,79.8828125,81.15234375,80.17578125,81.54296875
"715","Arothron_firmamentum",96.4285714285714,92.8571428571429,64.2857142857143,96.4285714285714,96.4285714285714,96.4285714285714
"716","Arothron_hispidus",83.5249042145594,82.5287356321839,81.5325670498084,82.3754789272031,81.6091954022989,83.9846743295019
"717","Arothron_manilensis",81.0679611650485,79.8543689320388,78.2766990291262,81.6747572815534,81.1893203883495,81.4320388349515
"718","Arothron_mappa",84.123025768911,83.1255195344971,82.1280133000831,82.7930174563591,82.0448877805486,84.455527847049
"719","Arothron_meleagris",83.5243553008596,82.2349570200573,81.8051575931232,82.163323782235,80.945558739255,84.025787965616
"720","Arothron_nigropunctatus",82.4823943661972,81.7781690140845,79.8415492957747,81.9542253521127,81.3380281690141,83.0985915492958
"721","Arothron_reticularis",81.7865429234339,80.3944315545244,78.4222737819025,81.7865429234339,81.0904872389791,81.7865429234339
"722","Arothron_stellatus",83.268178264269,81.704456606724,81.5480844409695,81.9390148553558,80.766223612197,83.5809225957779
"723","Arthropoma_cecilii",83.6849507735584,81.8565400843882,81.9971870604782,82.2081575246132,80.8720112517581,83.9662447257384
"724","Asaphis_dichotoma",82.258064516129,81.2144212523719,79.6015180265655,81.8785578747628,80.7400379506641,82.3529411764706
"725","Asaphis_violascens",84.0218238503507,83.0085736554949,81.4497272018706,83.0865159781762,82.1512081060016,84.489477786438
"726","Ascalista_polita",83.8675213675214,83.974358974359,80.448717948718,84.2948717948718,82.6923076923077,85.7905982905983
"727","Ascaltis_grisea",81.0810810810811,60.8108108108108,67.5675675675676,62.1621621621622,41.8918918918919,74.3243243243243
"728","Ascaltis_lamarcki",83.8616714697406,82.8530259365994,80.6916426512968,83.8616714697406,81.1239193083573,85.1585014409222
"729","Ascidia_archaia",84.3983402489627,83.2365145228216,81.9917012448133,83.3195020746888,82.1576763485477,85.5601659751037
"730","Ascidia_capillata",80.9116809116809,81.7663817663818,78.2051282051282,84.1880341880342,83.7606837606838,83.1908831908832
"731","Ascidia_decepta",88.2352941176471,70.5882352941177,58.8235294117647,73.5294117647059,64.7058823529412,76.4705882352941
"732","Ascidia_gemmata",84.26435877262,83.1628638867034,81.5106215578285,83.3988985051141,82.3760818253344,84.9724626278521
"733","Ascidia_glabra",91.4893617021277,63.8297872340426,63.8297872340426,65.9574468085106,53.1914893617021,78.7234042553192
"734","Ascidia_ornata",89.4557823129252,90.8163265306122,84.3537414965986,90.8163265306122,88.4353741496599,90.1360544217687
"735","Ascidia_sydneiensis",83.5227272727273,82.1022727272727,81.4630681818182,81.8892045454545,81.0369318181818,83.6647727272727
"736","Ascidia_tapuni",79.4830371567044,75.767366720517,75.9289176090468,71.8901453957997,73.9903069466882,79.6445880452342
"737","Ascobulla_fischeri",80.3594351732991,80.2310654685494,77.6636713735558,82.5417201540436,82.5417201540436,81.3863928112965
"738","Ascorhynchus_cactoides",84.9929873772791,82.8892005610098,78.5413744740533,80.9256661991585,79.523141654979,85.8345021037868
"739","Ascorhynchus_miniscapus",87.8260869565217,90,79.5652173913043,88.0434782608696,73.695652173913,83.9130434782609
"740","Ascorhynchus_minutus",87.1584699453552,89.0710382513661,88.7978142076503,90.4371584699454,89.6174863387978,91.5300546448087
"741","Ascorhynchus_okai",82.1548821548822,80.3872053872054,80.7239057239057,80.8080808080808,79.6296296296296,83.4175084175084
"742","Ascorhynchus_ornatus",84.8484848484848,66.6666666666667,63.6363636363636,69.6969696969697,69.6969696969697,72.7272727272727
"743","Ascorhynchus_orthorhynchus",83.960843373494,84.1114457831325,81.7771084337349,82.0030120481928,82.2289156626506,86.144578313253
"744","Ascorhynchus_pyrginospinum",100,100,100,100,100,100
"745","Aseraggodes_cyclurus",96.5116279069768,92.6356589147287,91.8604651162791,92.6356589147287,86.8217054263566,91.0852713178295
"746","Aseraggodes_kaianus",82.6519337016575,81.3259668508287,79.8895027624309,82.5414364640884,82.9834254143646,83.4254143646409
"747","Aseraggodes_longipinnis",81.6254416961131,84.452296819788,73.8515901060071,86.9257950530035,84.8056537102474,84.452296819788
"748","Aseraggodes_magnoculus",83.3333333333333,62.1212121212121,74.2424242424242,60.6060606060606,39.3939393939394,75.7575757575758
"749","Aseraggodes_melanostictus",84.6246973365617,83.7772397094431,82.6876513317191,84.8668280871671,84.1404358353511,86.0774818401937
"750","Aseraggodes_ramsaii",84.4827586206897,76.7241379310345,76.7241379310345,74.1379310344828,63.7931034482759,84.4827586206897
"751","Aseraggodes_whitakeri",89.0526315789474,88,86.7368421052632,87.3684210526316,84.6315789473684,90.1052631578947
"752","Ashtoret_lunaris",79.5336787564767,79.7927461139896,77.2020725388601,81.8652849740933,81.7357512953368,79.7927461139896
"753","Ashtoret_picta",84.0304182509506,82.5855513307985,82.4334600760456,82.8897338403042,81.5969581749049,85.2471482889734
"754","Asparagopsis_taxiformis",83.763277693475,82.7769347496206,81.7905918057663,83.2321699544765,81.8664643399089,84.3702579666161
"755","Aspella_media",81.2121212121212,79.6212121212121,79.2424242424242,79.9242424242424,78.3333333333333,82.8030303030303
"756","Aspidodiadema_tonsum",100,100,100,100,100,100
"757","Aspidontus_dussumieri",84.2525979216627,83.1334932054357,81.8545163868905,83.2134292565947,82.0143884892086,85.0519584332534
"758","Aspidontus_taeniatus",84.0909090909091,83.0721003134796,81.4263322884013,83.1504702194357,82.0532915360502,84.5611285266458
"759","Aspidosiphon_coyi",82.046511627907,81.2093023255814,79.906976744186,81.5813953488372,81.4883720930233,82.9767441860465
"760","Aspidosiphon_elegans",84.2845973416732,83.3463643471462,81.704456606724,83.4245504300235,82.2517591868647,84.8318999218139
"761","Aspidosiphon_laevis",84.1628959276018,83.2579185520362,81.5987933634992,82.9562594268477,82.051282051282,84.6153846153846
"762","Aspidosiphon_muelleri",74.287856071964,73.5007496251874,73.1634182908546,70.7083958020989,74.4377811094453,75.3748125937031
"763","Aspidosiphon_parvulus",80.3722504230118,79.3570219966159,80.0338409475465,81.3874788494078,81.7258883248731,81.7258883248731
"764","Aspidosiphon_spiralis",81.6666666666667,79.6078431372549,79.6078431372549,80.1960784313726,79.0196078431373,80.9803921568627
"765","Aspidosiphon_steenstrupii",83.0653804930332,80.6002143622722,82.8510182207931,82.8510182207931,81.2433011789925,82.7438370846731
"766","Aspidosiphon_tenuis",84.6274509803922,83.6078431372549,82.5098039215686,83.6862745098039,82.5098039215686,86.1960784313725
"767","Asquamiceps_velaris",75.0333053732669,74.2487788029802,70.089307741649,73.794838900676,75.9461193072482,76.6171609019588
"768","Assessor_flavissimus",86.2527716186253,89.3569844789357,89.3569844789357,90.0221729490022,89.3569844789357,91.5742793791574
"769","Assessor_macneilli",87.8995433789954,85.6164383561644,87.2146118721461,84.703196347032,84.9315068493151,88.5844748858447
"770","Assurger_anzac",82.461355529132,81.8668252080856,81.2128418549346,80.9155766944114,81.4506539833531,83.7098692033294
"771","Asterina_cepheus",84.3881856540084,83.6286919831224,82.4472573839662,83.4599156118144,82.5316455696203,85.9915611814346
"772","Asterometra_cristata",89.3390191897655,90.1918976545842,88.4861407249467,90.1918976545842,88.6993603411514,91.044776119403
"773","Asteronema_breviarticulatum",83.7600585223116,82.7359180687637,81.6386247256767,82.9553767373811,81.7849305047549,84.3452816386247
"774","Asteronotus_cespitosus",83.8235294117647,82.2192513368984,82.0187165775401,81.6176470588235,81.216577540107,84.3582887700535
"775","Asteronyx_loveni",77.8721682847896,76.173139158576,67.4217907227616,77.1035598705502,79.3554476806904,79.0992448759439
"776","Asteropsis_carinifera",83.8291380625477,82.5324180015256,81.8459191456903,82.2273073989321,81.2356979405034,84.4393592677345
"777","Asteropus_simplex",81.7878028404344,80.0334168755221,79.1144527986633,80.7017543859649,79.1979949874687,81.6207184628237
"778","Asterorhombus_cocosensis",82.0773930753564,80.8553971486762,79.5315682281059,81.6700610997963,80.4480651731161,81.7718940936864
"779","Asterorhombus_filifer",83.9421613394216,82.4200913242009,82.4200913242009,82.572298325723,81.2785388127854,85.3120243531202
"780","Asterorhombus_intermedius",82.6310380267215,80.2672147995889,80.6783144912641,81.0894141829394,79.7533401849949,83.1449126413155
"781","Asterropteryx_atripes",83.4459459459459,85.472972972973,81.7567567567568,86.9932432432432,87.1621621621622,87.1621621621622
"782","Asterropteryx_bipunctata",79.9713876967096,80.2575107296137,78.1115879828326,82.8326180257511,81.8311874105866,81.8311874105866
"783","Asterropteryx_ensifera",83.8546922300706,82.744702320888,81.6347124117054,83.9556004036327,83.0474268415742,83.1483350151362
"784","Asterropteryx_ovata",77.6493256262042,79.1907514450867,72.2543352601156,80.5394990366089,79.9614643545279,79.1907514450867
"785","Asterropteryx_semipunctata",84.1033672670321,83.0853563038371,81.6758026624902,83.1636648394675,82.2239624119029,84.8081440877056
"786","Asterropteryx_spinosa",83.502538071066,82.4027072758037,81.1336717428088,82.4027072758037,82.3181049069374,84.3485617597293
"787","Asterropteryx_striata",80.3698435277383,80.9388335704125,79.0896159317212,83.7837837837838,83.2147937411095,82.7880512091038
"788","Asthenosoma_varium",81.145584725537,79.5942720763723,78.0429594272076,80.9069212410501,80.7875894988067,80.7875894988067
"789","Astralium_calcar",80.9587217043941,81.2250332889481,77.62982689747,83.7549933422104,83.2223701731025,81.8908122503329
"790","Astralium_rhodostomum",82.4362606232295,81.3031161473088,79.3201133144476,81.8696883852691,80.8309726156752,82.4362606232295
"791","Astreopora_cucullata",82.5044404973357,81.7051509769094,80.0177619893428,81.9715808170515,81.4387211367673,83.214920071048
