"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"4215","Ircinia_ramosa",33.9254385964912,33.6184210526316,35,34.4466403162055,34.2324561403509
"4216","Irus_macrophyllus",34.0384615384615,32.5961538461538,34.6153846153846,31.508120649652,31.0296684118674
"4217","Isabella_mirabilis",35,34.1025641025641,33.2051282051282,31.4102564102564,33.2051282051282
"4218","Isaurus_tuberculatus",34.0512048192771,34.2620481927711,33.8403614457831,33.2078313253012,33.1024096385542
"4219","Ischnopontonia_lophos",33.1007751937984,33.5077519379845,34.7286821705426,31.6537467700258,34.4573643410853
"4220","Isistius_brasiliensis",30.2033280358979,31.9734505001402,30.7922782088436,31.0540338412639,30.6417687202019
"4221","Iso_hawaiiensis",35,34.4308943089431,33.5772357723577,34.4308943089431,34.3181818181818
"4222","Iso_rhothophilus",32.8125,33.5416666666667,34.4166666666667,31.6938110749186,32.4137931034483
"4223","Isognomon_anomioides",34.1157894736842,33.1578947368421,34.0421052631579,32.2113821138211,32.4210526315789
"4224","Isognomon_ephippium",33.0103359173127,32.1963824289406,33.6061946902655,32.1084337349398,33.5529715762274
"4225","Isognomon_incisum",34.6818181818182,35,32.7727272727273,34.6818181818182,31.8181818181818
"4226","Isognomon_isognomum",33.3249370277078,32.5314861460957,34.0065502183406,32.3503521126761,33.4130982367758
"4227","Isognomon_legumen",30.5392156862745,32.2,33.4615384615385,34.0396341463415,33.6128048780488
"4228","Isognomon_perna",34.1463414634146,32.8270509977827,34.0687361419069,32.6666666666667,32.6718403547672
"4229","Isolda_pulchella",34.2241379310345,33.2758620689655,34.051724137931,31.8609865470852,31.3553719008264
"4230","Isopora_brueggemanni",33.75,33.0681818181818,34.7727272727273,31.810551558753,31.6955684007707
"4231","Isopora_cuneata",34.1796875,33.359375,34.2708333333333,31.9672131147541,31.3793103448276
"4232","Isopora_palifera",34.1688654353562,33.5224274406332,34.6306068601583,31.89448441247,31.3835376532399
"4233","Isops_perarmata",30.2771084337349,32.5390625,33.8054607508532,31.439205955335,34.58984375
"4234","Issena_pacifica",30.614849187935,32.2133757961783,33.1050955414013,33.8853503184713,33.5509554140127
"4235","Istiblennius_bellus",34.4426751592357,34.1082802547771,33.9968152866242,32.0670391061453,33.9968152866242
"4236","Istiblennius_dussumieri",34.1532258064516,33.1653225806452,34.7177419354839,32.0422535211268,34.2943548387097
"4237","Istiblennius_edentulus",34.3069306930693,33.0074257425743,34.3069306930693,32.6755218216319,32.7475247524753
"4238","Istiblennius_lineatus",34.5138888888889,33.1527777777778,34.4166666666667,32.8343313373254,32.5694444444444
"4239","Istiblennius_meleagris",33.4558823529412,33.7990196078431,34.3137254901961,33.3978873239437,34.656862745098
"4240","Istigobius_decoratus",34.1328828828829,32.7927927927928,34.3693693693694,32.5042444821732,32.713963963964
"4241","Istigobius_nigroocellatus",33.9566395663957,34.4308943089431,34.810298102981,32.8898128898129,33.3875338753387
