"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4149","Hypnea_pannosa",71.0122699386503,72.5460122699387,68.8650306748466,75.0766871165644,70.8588957055215,74.3098159509202
"4150","Hypnea_valentiae",70.8745247148289,72.2433460076046,68.8212927756654,74.9049429657795,70.7984790874525,74.0684410646388
"4151","Hypoatherina_barnesi",65.6942823803967,70.5950991831972,65.3442240373396,71.7619603267211,68.3780630105018,69.8949824970829
"4152","Hypoatherina_ovalaua",69.1577698695136,71.8861209964413,67.9715302491103,74.1399762752076,69.5136417556346,74.7330960854093
"4153","Hypoatherina_temminckii",69.8339483394834,72.140221402214,69.0036900369004,74.169741697417,69.6494464944649,72.140221402214
"4154","Hypoatherina_tropicalis",69.2470837751856,73.7009544008483,65.2173913043478,73.9130434782609,69.6712619300106,74.0190880169671
"4155","Hypoatherina_valenciennei",55.9870550161812,67.6375404530744,62.9449838187702,67.9611650485437,64.5631067961165,66.504854368932
"4156","Hypodistoma_deerratum",59.1289782244556,69.8492462311558,63.1490787269682,70.0167504187605,67.8391959798995,69.179229480737
"4157","Hypogaleus_hyugaensis",62.2298065984073,70.6484641638225,65.0739476678043,71.5585893060296,68.4869169510808,69.3970420932878
"4158","Hyporhamphus_acutus",79.1313559322034,75.7415254237288,73.6228813559322,79.3432203389831,73.728813559322,79.7669491525424
"4159","Hyporhamphus_affinis",71.8543046357616,72.5993377483444,69.0397350993377,74.9172185430464,70.5298013245033,74.0066225165563
"4160","Hyporhamphus_balinensis",66.5057915057915,69.015444015444,65.8301158301158,72.007722007722,68.6293436293436,70.5598455598456
"4161","Hyporhamphus_dussumieri",71.2211784799317,72.6729291204099,68.4884713919727,74.5516652433817,70.196413321947,73.2707087959009
"4162","Hyporthodus_octofasciatus",70.577045022194,69.5624603677869,69.5624603677869,72.3525681674065,68.2942295497781,71.718452758402
"4163","Hypothalassia_armata",67.6642810670137,70.7221860767729,66.5582303188029,70.3318152244632,66.2979830839297,69.811320754717
"4164","Hypseleotris_cyprinoides",68.1455190771961,73.114463176575,66.1934338952972,73.2919254658385,68.6779059449867,71.8722271517303
"4165","Hypseleotris_guentheri",67.5029868578256,70.3703703703704,64.6356033452808,72.1624850657109,68.4587813620072,69.7729988052569
"4166","Hypselodoris_infucata",67.1428571428571,72.7551020408163,65.8163265306122,73.469387755102,68.8775510204082,71.2244897959184
"4167","Hypselodoris_nigrostriata",61.5062761506276,69.7698744769875,64.2259414225941,69.9790794979079,66.9456066945607,68.0962343096234
