"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"4401","Lamprometra_palmata",62.2322435174746,55.6933483652762,45.6595264937993,45.6595264937993,52.1984216459977
"4402","Lanice_conchilega",66.6666666666667,100,100,100,66.6666666666667
"4403","Laodicea_undulata",74.2550655542312,72.7056019070322,47.7949940405244,39.9284862932062,59.8331346841478
"4404","Laomenes_amboinensis",65.7254901960784,63.5294117647059,50.9019607843137,43.4509803921569,60.3921568627451
"4405","Laonice_cirrata",88,84.8888888888889,56.7407407407407,39.5555555555556,71.8518518518519
"4406","Lapemis_curtus",57.2981366459627,50.4658385093168,42.3913043478261,47.8260869565217,49.0683229813665
"4407","Laticauda_colubrina",65.2985074626866,58.5820895522388,50.4664179104478,43.4701492537313,56.9029850746269
"4408","Laticauda_laticaudata",63.0892678034102,59.0772316950853,45.6369107321966,44.0320962888666,52.6579739217653
"4409","Laticauda_saintgironsi",67.175572519084,94.6564885496183,34.3511450381679,35.8778625954198,35.1145038167939
"4410","Latirolagena_smaragdula",62.5380710659899,60.1015228426396,45.989847715736,45.0761421319797,52.994923857868
"4411","Latirus_belcheri",61.5621788283659,61.7677286742035,45.9403905447071,46.1459403905447,53.5457348406989
"4412","Latirus_gibbulus",57.2842998585573,54.031117397454,47.3833097595474,49.0806223479491,50.6364922206506
"4413","Latirus_nodatus",66.8346774193548,68.4475806451613,58.2661290322581,43.9516129032258,63.0040322580645
"4414","Latirus_polygonus",62.6705653021443,60.6237816764133,46.0038986354776,44.6393762183236,53.7037037037037
"4415","Latirus_turritus",60.1162790697674,58.4883720930233,46.1627906976744,48.7209302325581,54.0697674418605
"4416","Latreillia_metanesa",60.2230483271376,66.5958576739246,46.9994689325544,45.4593733404142,59.1609134360064
