"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"7590","Siphonaria_javanica",51.0982658959538,43.4682080924855,45.4335260115607,45.8959537572254,41.6184971098266
"7591","Siphonaria_laciniosa",52.3969722455845,46.6778805719092,49.1169049621531,45.2481076534903,44.5752733389403
"7592","Siphonodictyon_mucosum",50.801749271137,45.9183673469388,48.469387755102,44.3148688046647,45.0437317784257
"7593","Siphonosoma_cumanense",48.9719626168224,45.3271028037383,46.0747663551402,45.2336448598131,43.2710280373832
"7594","Sipunculus_nudus",43.4499904379422,39.0896921017403,39.7590361445783,35.0353796136929,41.0977242302544
"7595","Sipunculus_phalloides",49.5934959349593,45.6535334584115,45.9662288930582,44.9030644152595,43.4021263289556
"7596","Sirembo_imberbis",48.0055020632737,40.302613480055,40.4401650618982,45.8046767537827,36.5887207702889
"7597","Sirembo_jerdoni",48.871181938911,41.5670650730412,42.8950863213811,45.4183266932271,39.9734395750332
"7598","Siriella_thompsonii",49.4981510829371,45.6946645536186,46.1701003697834,42.7892234548336,44.6909667194929
"7599","Skythrenchelys_macrostomus",46.0176991150442,40.2654867256637,44.9115044247788,44.1371681415929,43.141592920354
"7600","Sluiterina_sibogae",48.5449735449735,35.7583774250441,44.0917107583774,30.9082892416226,39.1093474426808
"7601","Smaragdia_paulucciana",47.9776847977685,41.9804741980474,43.0962343096234,46.0251046025105,40.8647140864714
"7602","Smilium_acutum",42.0596946912736,39.5762132604238,39.2344497607655,35.1332877648667,41.2394622920939
"7603","Smilium_vaubanianum",56.3380281690141,54.7535211267606,55.8098591549296,52.8169014084507,54.9295774647887
"7604","Snyderidia_canina",45.004061738424,39.9945843487679,41.2672623883022,37.7470890874628,41.0506363390198
"7605","Soestia_zonaria",69.6969696969697,55.1515151515151,67.2727272727273,42.4242424242424,58.1818181818182
"7606","Solanderia_secunda",52.3543495610535,46.5283320031923,49.3216280925778,45.9696727853152,45.3312051077414
"7607","Solea_ovata",42.8115015974441,37.220447284345,37.5399361022364,40.4153354632588,34.9840255591054
"7608","Solegnathus_hardwickii",48.9251934651763,46.2596732588134,44.4539982803095,45.3138435081685,42.8202923473775
"7609","Solegnathus_lettiensis",51.8361581920904,45.1977401129944,44.0677966101695,51.5536723163842,43.5028248587571
"7610","Soleichthys_heterorhinos",54.4362292051756,47.0425138632163,49.815157116451,46.5804066543438,45.9334565619224
"7611","Solelucina_koumacia",60,61.1428571428571,52,50.2857142857143,50.2857142857143
"7612","Solen_grandis",42.4825174825175,36.013986013986,36.3636363636364,40.3846153846154,33.7412587412587
"7613","Solen_roseomaculatus",43.7125748502994,36.9760479041916,37.5748502994012,38.7724550898204,35.3293413173653
"7614","Solenocera_alfonso",50.2986857825568,44.205495818399,42.4133811230585,49.3428912783751,41.816009557945
"7615","Solenocera_annectens",62.8140703517588,60.5527638190955,62.5628140703518,54.0201005025126,62.3115577889447
"7616","Solenocera_comata",50.3225806451613,46.8035190615836,46.7448680351906,45.4545454545455,44.7507331378299
"7617","Solenocera_faxoni",47.7135461604832,40.8110440034513,40.8973252804142,42.3641069887834,37.1009490940466
"7618","Solenocera_melantho",48.2625482625483,39.7683397683398,39.6396396396396,45.945945945946,36.4221364221364
"7619","Solenocera_pectinata",47.0183486238532,40.8256880733945,40.8256880733945,43.6926605504587,37.1559633027523
"7620","Solenocera_rathbuni",48.0921052631579,45.5921052631579,44.5394736842105,45.1315789473684,44.8026315789474
"7621","Solenostomus_cyanopterus",50.1805054151625,42.3586040914561,44.5246690734055,45.8483754512635,40.5535499398315
"7622","Solenostomus_paradoxus",54.0618955512573,45.7446808510638,48.3558994197292,44.8742746615087,44.9709864603482
"7623","Solidobalanus_auricoma",47.5434618291761,45.124716553288,43.5374149659864,44.5200302343159,42.4792139077853
"7624","Solidobalanus_ciliatus",49.077868852459,42.1106557377049,41.0860655737705,44.5696721311475,39.0368852459016
"7625","Solidobalanus_hawaiensis",48.1358189081225,44.8069241011984,43.8748335552596,45.7390146471371,43.6085219707057
"7626","Solidobalanus_maldivensis",52.9286474973376,51.0117145899894,48.4558040468584,52.9286474973376,49.4142705005325
"7627","Solidosagitta_zetesios",37.5,51.2096774193548,52.4193548387097,64.1129032258064,57.6612903225806
"7628","Solitariopagurus_triprobolus",57.6797385620915,56.2091503267974,52.9411764705882,42.483660130719,50.1633986928105
"7629","Solitariopagurus_trullirostris",53.3333333333333,54.2424242424242,54.5454545454545,53.6363636363636,46.969696969697
"7630","Solitariopagurus_tuerkayi",57.0400822199383,53.7512846865365,56.9373072970195,50.8735868448099,54.5734840698869
"7631","Solmaris_rhodoloma",43.3734939759036,37.3493975903614,35.140562248996,42.7710843373494,32.5301204819277
"7632","Solmissus_incisa",67.4496644295302,58.3892617449664,64.7651006711409,46.6442953020134,58.7248322147651
"7633","Solmundella_bitentaculata",48.9406779661017,45.5508474576271,45.2860169491525,44.5444915254237,42.7436440677966
"7634","Spadella_cephaloptera",56.7123287671233,49.3150684931507,51.6438356164384,47.2602739726027,47.6712328767123
"7635","Spadentalina_ingrata",49.3796526054591,48.1389578163772,46.7328370554177,49.7105045492142,47.9735318444996
"7636","Spadentalina_tubiformis",49.7481108312343,40.6801007556675,39.6725440806045,45.2141057934509,37.6574307304786
"7637","Sphacelaria_rigidula",51.3742071881607,45.5602536997886,47.0401691331924,46.3002114164905,43.7632135306554
"7638","Sphacelaria_tribuloides",52.2565320665083,44.5368171021378,48.5748218527316,45.7244655581948,45.249406175772
"7639","Sphaeramia_nematoptera",49.6402877697842,44.7070914696814,46.0431654676259,45.7348406988695,43.2682425488181
"7640","Sphaeramia_orbicularis",49.7354497354497,44.021164021164,47.3015873015873,46.031746031746,43.1746031746032
"7641","Sphaerodromia_nux",47.7470355731225,45.9288537549407,44.8221343873518,46.0869565217391,45.296442687747
"7642","Sphaeroma_walkeri",52.9166666666667,47.25,49.1666666666667,45.75,44.5833333333333
"7643","Sphaerosyllis_capensis",57.0188133140376,54.4138929088278,54.5586107091172,49.0593342981187,52.6772793053546
"7644","Sphagemacrurus_decimalis",41.4285714285714,57.8571428571429,39.2857142857143,55.7142857142857,45.7142857142857
"7645","Spheciospongia_inconstans",49.9504459861249,44.5986124876115,45.8870168483647,45.2923686818632,44.3012884043608
"7646","Spheciospongia_solida",50.2692998204668,44.8833034111311,48.2046678635548,48.6535008976661,45.7809694793537
"7647","Spheciospongia_vagabunda",49.8257839721254,41.2311265969803,43.6701509872242,44.2508710801394,39.9535423925668
"7648","Sphoeroides_pachygaster",53.6144578313253,48.1174698795181,46.3855421686747,45.933734939759,43.5993975903614
"7649","Sphyraena_acutipinnis",48.9478499542543,43.7328453796889,44.8307410795974,46.0201280878317,43.0009149130833
"7650","Sphyraena_barracuda",50.9540636042403,45.3003533568905,48.4805653710247,43.7455830388693,44.8763250883392
"7651","Sphyraena_flavicauda",50.1923076923077,45.6730769230769,46.0576923076923,45.7692307692308,43.2692307692308
"7652","Sphyraena_forsteri",50.4076086956522,45.7880434782609,46.3994565217391,43.4782608695652,43.75
"7653","Sphyraena_helleri",49.2248062015504,43.8759689922481,46.3565891472868,44.7286821705426,44.4186046511628
