feature,EM_Percentile_tos_585,MM-NorESM2-MM_Percentile_tos_585,MM-IPSL-CM6A-LR_Percentile_tos_585,MM-GFDL-ESM4_Percentile_tos_585,MM-CMCC-ESM2_Percentile_tos_585,MM-CanESM5_Percentile_tos_585
Strombus_urceus,32.552447552447546,31.32867132867136,33.77622377622381,33.77622377622381,33.77622377622381,33.04195804195804
Strongylodesma_tongaensis,33.409090909090885,32.45454545454548,33.409090909090885,34.681818181818144,34.681818181818144,32.45454545454548
Strongylura_incisa,30.483870967741936,32.49999999999998,33.76832844574777,34.07624633431088,34.07624633431088,33.04985337243401
Strongylura_urvillii,30.66666666666666,32.265625,33.44444444444446,34.22222222222223,34.22222222222223,33.11111111111111
Strophidon_sathete,31.700000000000006,32.04225352112673,33.599999999999994,33.89999999999998,33.800000000000004,33.30000000000002
Styela_canopus,31.312260536398448,32.35111662531021,33.256704980842905,33.65900383141765,33.927203065134115,33.256704980842905
Styela_sigma,34.05405405405409,35,32.1621621621622,32.1621621621622,32.1621621621622,31.216216216216214
Styela_squamosa,33.5211267605634,33.02816901408451,34.01408450704221,34.50704225352111,31.056338028169016,34.01408450704221
Stylaraea_punctata,30.38369304556355,32.487765089722664,33.405275779376474,33.65707434052761,34.160671462829725,33.069544364508396
Stylaster_duchassaingi,30.27654867256635,32.98672566371679,31.205752212389367,33.761061946902636,33.83849557522126,32.599557522123895
Stylaster_erubescens,35,35,35,35,35,35
Stylaster_gemmascens,33.59408033826642,32.63213530655393,33.96405919661734,34.186046511627914,33.89006342494717,33.002114164904846
Stylaster_gracilis,30.199501246882797,31.901496259351596,31.5523690773067,33.123441396508746,33.778054862842914,31.726932668329145
Stylaster_imbricatus,31.087928464977647,31.40089418777941,30.253353204172907,31.296572280178868,32.28763040238449,30.044709388971686
Stylaster_roseus,31.28787878787879,32.26010101010102,33.23232323232325,33.939393939393945,34.11616161616159,33.143939393939426
Styliola_subula,30.303030303030308,31.704545454545457,31.36363636363636,32.72727272727269,33.71212121212124,31.439393939393927
Stylissa_carteri,31.153846153846146,32.33050847457626,33.36538461538464,34.326923076923045,34.13461538461541,33.36538461538464
Stylissa_flabelliformis,31.37349397590359,32.68211920529801,33.73493975903618,34.49397590361443,33.81927710843374,33.31325301204817
Stylissa_massa,31.171874999999996,32.25773195876287,33.268229166666686,34.27083333333331,34.27083333333331,33.17708333333331
Stylocheilus_citrinus,33.45911949685536,35,34.33962264150942,33.89937106918236,33.89937106918236,34.11949685534593
Stylocheiron_abbreviatum,30.14787430683917,32.08872458410353,31.37707948243995,33.12384473197779,33.77079482439929,32.282809611829975
Stylocheiron_affine,34.65,33.528037383177534,35,34.51162790697678,35,34.3
Stylocheiron_carinatum,30.44303797468353,31.645569620253188,32.97468354430383,33.164556962025294,33.92405063291139,33.10126582278481
Stylocheiron_elongatum,33.65384615384617,34.05405405405409,33.42342342342346,34.77272727272729,35,35
Stylocheiron_longicorne,30.131160572337016,31.577901430842616,31.132750397456256,31.800476947535795,33.63672496025436,31.4387917329094
Stylocoeniella_armata,31.07822410147994,32.19409282700422,33.372093023255836,33.81606765327693,34.038054968287504,33.224101479915426
Stylocoeniella_guentheri,31.069915254237294,32.23554301833572,33.36864406779659,33.88771186440675,33.96186440677968,33.14618644067794
Stylodactyloides_crosnieri,31.888888888888918,31.11111111111108,31.37037037037036,31.629629629629637,33.70370370370367,34.74074074074072
Stylopandalus_richardi,30.319953461314718,30.15658795962512,31.163467132053547,30.47411285631181,30.166957611566158,31.16928446771377
Stylophora_pistillata,30.87777777777777,32.43263473053891,33.28888888888892,33.988888888888916,33.911111111111076,33.21111111111108
Stypopodium_zonale,30.7236842105263,31.77631578947371,33.09210526315792,33.486842105263186,33.815789473684184,33.28947368421052
Suberea_creba,35,31.499999999999996,35,35,34.125,35
Suberea_elegans,35,33.749999999999986,35,35,33.749999999999986,35
Subergorgia_suberosa,30.969696969696937,32.40409207161126,33.72727272727274,34.57575757575758,34.15151515151516,33.30303030303032
Suberites_aurantiacus,31.03632478632476,32.352941176470594,33.429487179487204,33.65384615384617,33.95299145299145,33.20512820512818
Sudis_atrox,30.32161373946859,30.015611448395507,30.0065126780132,30.423687621516557,30.055654593677996,30.04652376190269
